clist ,   ,   
cdetail ,   ,   
clist ,   approved,  320 
clist ,   all,  320 
clist ,   wait,  320 
clist ,   cancel,  320 
clist ,   done,  320 
clist ,   wait,  320 
clist ,   approved,  320 
clist ,   all,  320 
clist ,   done,  320 
clist ,   cancel,  320 
clist ,   approved,  320 
clist ,   all,  320 
clist ,   done,  320 
clist ,   wait,  320 
clist ,   cancel,  320 
 eyJhbGciOiJzaGEyNTYiLCJ0eXAiOiJKV1QifS57ImV4cCI6MTY3MTAwNzYwMywiaWF0IjoxNjcwOTg2MDAzLCJVc2VyX0lEIjoiTXpJdyIsIlVfTmFtZSI6IllXaHpaVzV4IiwiVV9FbWFpbCI6IllXaHVhR0ZsYVc0eE1URkFibUYyWlhJdVkyOXQiLCJUaW1lWm9uZSI6Ik9RPT0ifS5hYTIzY2M2NjY0Nzk5NDhhNDhiMDZmOTRiODc3YTM4ZjJhZTY3YTkwNzQyOWIxNmE1MGVjMTA0ZGRjMjEzNGQ0
clist ,   wait,  320 
clist ,   all,  320 
clist ,   approved,  320 
clist ,   cancel,  320 
clist ,   done,  320 
clist ,   approved,  320 
clist ,   all,  320 
clist ,   wait,  320 
clist ,   done,  320 
clist ,   cancel,  320 
clist ,   wait,  320 
clist ,   approved,  320 
clist ,   all,  320 
clist ,   done,  320 
clist ,   cancel,  320 
clist ,   all,  320 
clist ,   wait,  320 
clist ,   approved,  320 
clist ,   cancel,  320 
clist ,   done,  320 
clist ,   approved,  320 
clist ,   wait,  320 
clist ,   all,  320 
clist ,   cancel,  320 
clist ,   done,  320 
